,1,2,3,4,5
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,2
3,0,0,0,0,2
4,0,0,0,3,2
5,0,0,0,3,0
6,0,0,0,0,2
7,0,0,0,0,0
8,0,0,0,0,2
9,0,0,0,0,2
10,0,0,0,0,2
11,0,0,0,0,0
12,0,0,0,0,2
13,0,0,0,0,2
14,0,0,0,0,2
15,0,0,0,0,2
16,0,0,0,0,2
17,0,0,0,3,0
18,0,0,0,3,2
19,0,0,0,0,2
20,0,0,0,3,2
21,0,0,0,0,2
22,0,3,0,3,2
23,0,3,0,3,2
24,0,3,0,3,0
25,0,3,0,0,2
26,0,1,0,1,1
27,0,1,0,3,1
28,0,3,0,3,2
29,0,0,0,3,2
30,0,3,0,3,0
31,0,3,0,3,2
32,0,3,0,3,2
33,0,3,0,3,2
34,0,3,0,3,2
35,0,0,0,3,2
36,0,0,0,0,2
37,0,3,0,3,3
38,0,3,0,3,0
39,0,3,3,3,0
40,0,3,0,3,0
41,0,3,0,3,0
42,0,0,0,0,0
43,0,3,0,3,0
44,0,3,0,1,0
45,0,3,0,3,0
46,0,3,3,3,0
47,0,3,0,3,0
48,0,3,0,3,0
49,0,3,0,1,0
50,0,3,0,3,0
51,0,0,0,1,0
52,0,3,0,3,0
53,0,3,0,3,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,2
57,0,0,0,3,2
58,0,0,0,1,1
59,0,0,0,0,2
60,0,0,0,0,2
61,0,0,0,0,2
62,0,0,0,1,1
63,0,1,0,0,1
64,0,1,0,1,1
65,0,0,0,0,2
66,0,0,0,0,1
67,0,0,0,0,1
68,0,0,0,0,3
69,0,0,0,1,1
70,0,0,0,0,1
71,0,1,0,1,1
72,0,0,0,3,2
73,0,0,0,0,2
74,0,0,0,0,2
75,0,0,0,0,0
76,0,0,0,0,2
77,0,0,0,3,0
78,0,0,0,3,2
79,0,0,0,3,2
80,0,0,0,3,2
81,0,0,0,0,2
82,0,0,0,0,2
83,0,0,0,0,2
84,0,0,0,1,1
85,0,0,0,0,2
86,0,0,0,3,2
87,0,0,0,3,2
88,0,0,0,3,2
89,0,3,0,3,2
90,0,0,0,0,1
91,0,0,0,0,0
92,0,0,0,0,3
93,0,0,0,3,3
94,0,0,0,3,0
95,0,0,0,0,0
96,0,0,0,3,3
97,0,0,0,0,0
98,0,0,0,3,3
99,0,0,0,3,3
100,0,3,0,3,3
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,3,0
104,0,0,0,3,0
105,0,0,0,1,0
106,0,0,0,0,0
107,0,0,0,3,2
108,0,0,0,3,2
109,0,0,0,3,2
110,0,0,0,0,0
111,0,0,0,0,2
112,0,0,0,3,2
113,0,0,0,0,2
114,0,0,0,0,0
115,0,0,0,3,0
116,0,0,0,0,2
117,0,0,0,0,2
118,0,0,0,0,2
119,0,0,0,3,2
120,0,0,0,3,2
121,0,3,0,3,0
122,0,0,0,1,0
123,0,0,0,0,2
124,0,0,0,0,0
125,0,0,0,3,2
126,0,0,0,3,0
127,0,3,0,3,2
128,0,0,0,3,2
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,0,0,0
132,0,0,0,0,1
133,0,0,0,0,0
134,0,0,0,0,1
135,0,3,0,3,0
136,0,0,0,0,2
137,0,0,0,0,2
138,0,0,0,0,2
139,0,0,0,3,2
140,0,0,0,3,2
141,0,3,0,3,3
142,0,0,0,3,2
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,0,0
152,0,0,0,0,0
153,0,0,0,0,2
154,0,0,0,0,2
155,0,0,0,0,2
156,0,0,0,0,2
157,1,3,0,3,2
158,0,3,0,3,2
159,0,3,0,3,2
160,0,3,3,3,2
161,0,3,3,3,2
162,0,3,3,3,2
163,0,3,3,3,2
164,0,3,3,3,2
165,0,3,3,3,2
166,0,3,3,3,2
167,0,3,0,3,2
168,0,0,0,0,0
169,0,0,0,0,2
170,0,0,0,0,2
171,0,0,0,0,0
172,0,0,0,3,2
173,0,0,0,3,0
174,0,0,0,0,2
175,0,0,0,0,2
176,0,0,0,3,2
177,0,0,0,0,0
178,0,0,0,0,2
179,0,0,0,0,0
180,0,0,0,3,1
181,0,0,0,3,0
182,0,0,0,3,2
183,0,0,0,3,2
184,0,0,0,3,0
185,0,0,0,1,1
186,0,1,0,1,1
187,0,0,0,0,2
188,0,3,0,3,2
189,0,0,0,0,2
190,0,0,0,3,0
191,0,0,0,3,2
192,0,0,0,0,0
193,1,3,0,3,1
194,0,0,0,0,2
195,0,3,0,3,2
196,0,3,0,3,2
197,0,3,0,3,2
198,0,3,3,3,2
199,0,3,0,3,2
200,0,1,1,3,2
201,0,1,0,3,2
202,0,3,0,3,2
203,1,3,0,3,2
204,0,3,0,3,2
205,0,3,0,3,0
206,0,0,0,0,1
207,0,0,0,3,2
208,3,3,0,3,0
209,0,0,0,0,0
210,0,0,0,0,1
211,0,3,0,3,2
212,0,0,0,3,2
213,0,0,0,0,2
214,0,0,0,3,2
215,0,0,0,3,2
216,0,3,0,3,2
217,0,0,0,0,2
218,0,0,0,0,2
219,0,0,0,0,2
220,0,0,0,3,1
221,0,0,0,0,2
222,0,0,0,3,1
223,0,0,0,3,0
224,0,0,0,3,0
225,0,0,0,3,2
226,0,0,0,0,2
227,0,0,0,3,2
228,0,0,0,0,0
229,0,0,0,0,0
230,0,3,0,3,3
231,0,3,0,3,1
232,0,1,0,3,2
233,0,0,0,3,1
234,0,3,0,3,1
235,0,1,0,0,2
236,0,0,0,3,2
237,0,1,0,3,1
238,0,0,0,3,0
239,0,0,0,0,0
240,0,0,0,3,2
241,0,0,0,3,2
242,0,1,0,3,1
243,0,0,0,3,2
244,0,0,0,0,0
245,0,1,0,3,1
246,0,0,0,1,1
247,0,3,0,3,2
248,0,0,0,3,2
249,0,0,0,0,2
250,0,0,0,3,2
251,0,3,0,3,2
252,0,3,0,3,2
253,0,1,0,3,2
254,0,1,0,1,1
255,0,0,0,0,1
256,0,1,1,1,2
257,0,0,0,0,0
258,0,0,0,0,2
259,0,3,0,3,2
260,0,3,0,3,2
261,0,1,0,1,1
262,0,0,0,0,1
263,0,1,0,3,2
264,0,0,0,0,0
265,0,0,0,0,2
266,0,0,0,0,2
267,0,3,0,1,1
268,0,0,0,3,2
269,0,0,0,0,0
270,0,0,0,0,0
271,0,3,0,3,3
272,0,0,0,3,2
273,0,0,0,3,2
274,0,3,0,3,2
275,0,3,0,3,2
276,0,1,0,3,1
277,0,0,0,3,2
278,0,3,0,3,2
279,0,0,0,3,2
280,0,3,0,3,2
281,0,3,0,3,2
282,0,0,0,3,0
283,0,0,3,3,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,3,2
288,0,0,0,0,2
289,0,0,0,1,2
290,0,0,0,0,0
291,0,0,0,0,0
292,0,0,0,0,0
293,0,0,0,0,0
294,0,0,0,1,0
295,0,0,0,3,0
296,0,0,0,0,2
297,0,0,0,0,2
298,0,0,0,3,2
299,0,0,0,0,2
300,0,0,0,0,2
301,0,0,0,3,2
302,0,0,0,1,2
303,0,0,0,1,2
304,0,0,0,3,2
305,0,0,0,0,2
306,0,0,3,3,2
307,0,0,0,0,2
308,0,0,0,3,2
309,0,0,0,3,2
310,0,0,0,3,2
311,0,0,0,3,2
312,0,0,0,1,1
313,0,0,0,0,0
314,0,3,0,3,3
315,0,3,0,3,2
316,0,0,0,1,2
317,0,0,0,0,1
318,0,1,0,3,1
319,0,1,0,1,1
320,0,1,0,1,1
321,0,1,0,1,1
322,0,3,0,3,0
323,0,0,0,0,2
324,0,0,0,0,0
325,0,0,0,0,2
326,0,0,0,3,2
327,0,3,0,3,2
328,0,3,0,3,2
329,0,3,0,3,2
330,0,3,0,3,3
331,0,3,0,3,0
332,0,3,0,3,2
333,0,3,0,3,2
334,0,3,0,3,2
335,0,0,0,0,0
336,0,0,0,1,0
337,0,0,0,1,1
338,0,1,0,1,1
339,0,1,0,1,2
340,0,0,0,0,2
341,0,0,0,0,2
342,0,0,0,0,0
343,0,0,0,0,0
344,0,0,0,0,0
345,0,3,3,3,3
346,0,0,0,3,3
347,0,0,0,3,0
348,0,0,0,0,0
349,0,0,0,3,2
350,0,3,0,3,0
351,0,0,0,0,0
352,0,0,0,3,2
353,0,0,0,0,2
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,1,0
358,0,0,0,0,0
359,0,0,0,0,0
360,0,0,0,0,0
361,0,0,0,0,3
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
365,0,3,0,0,0
366,0,0,0,0,2
367,0,3,0,3,2
368,0,0,0,3,0
369,0,0,0,0,0
370,0,0,0,0,1
371,0,0,0,0,1
372,0,0,0,0,0
373,0,0,0,0,0
374,0,0,0,0,0
375,0,0,0,1,0
376,0,0,0,0,0
377,0,0,0,1,2
378,0,0,0,0,2
379,0,0,2,3,2
380,0,0,2,3,2
